name,research_field,topic
Taylor Reed,Sportwissenschaftliche Fakultät,Effects of different training regimes on athletic performance and recovery in elite athletes
Jamie Jain,Erziehungswissenschaftliche Fakultät,Erkundungen des Einflusses digitaler Technologien auf das Verhalten Schülerinnen und Schüler im Unterrichtsverlauf: Aktuelle Trends und ihre Auswirkungen auf Lernmotivation und sozialen Austausch
Avery Garcia,Philologische Fakultät,Analyse des Verwandlungsumfangs der deutschen Sprache im Laufe der Zeit: Eine Fallstudie zu den sprachlichen Veränderungen im digitalen Zeitalter
Skyler Lee,Juristenfakultät,Analyse der Auswirkungen von Vertragsbedingungen auf die Unternehmensstrategie: Eine Fallstudie zu den Verträgen von großen Silicon Valley-Technologieunternehmen
Robin Smith,Fakultät für Lebenswissenschaften,Die Auswirkungen eines Mangelernährungsstatus auf das Immunsystem von Säugetieren
Morgan O'Hara,Erziehungswissenschaftliche Fakultät,Innovationen in der digitalen Lehr- und Lernumgebung
Kris Campbell,Fakultät für Lebenswissenschaften,Der Einfluss von Pflanzeneinsatz auf die Nährstoffversorgung in der Aquakultur
Skyler O'Hara,Sportwissenschaftliche Fakultät,Die Auswirkungen der körperlichen Aktivität auf die geistige Gesundheit: Eine Untersuchung quantitativer Erkenntnisse
Skyler Thomas,Erziehungswissenschaftliche Fakultät,Entwicklung integrierter Ansätze zur Förderung kritischen Denkens in der Grundschulausbildung – Eine Analyse der Wirksamkeit von verschiedenen methodischen Herangehensweisen.
Charlie Gonzalez,Fakultät für Chemie,Anwendung von Computersimulationen zur Analyse der Reaktionswege bei nicht-homogenen katalytischen Prozessen.
Alex Chen,Sportwissenschaftliche Fakultät,Auswirkungen von Trainingsprogrammen auf athletische Leistungsfähigkeit
Robin Liu,Fakultät für Chemie,Entwicklung von hochaktiven Katalysatoren aus bioabbaubaren Materialien für CO2-Einfangprozesse in der chemischen Industrie
Avery O'Hara,Theologische Fakultät,Umweltethik in der christlichen Tradition: Die Verbindung von Umweltschutz und religiösem Glauben
Bailey Garcia,Medizinische Fakultät,Der Einfluss von Hormonen auf die Entwicklung und Funktion von Zellreaktionen im Gehirn der Alzheimer-Patienten.
Sydney Garcia,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",'Kultur transfer in Mittelalterlichen Europäischen Kunstwerken'
Cameron Campbell,Fakultät für Chemie,"Anwendung von künstlicher Intelligenz in der Entwicklung neuer Verfahren zur synthetisierten Katzenfur
"
Jordan Brooks,Fakultät für Sozialwissenschaften und Philosophie,Soziale Verhältnisse und philosophische Überlegungen: Eine untersuchung zur Macht der Einheit aus Vielfalt
Taylor Clark,Medizinische Fakultät,Analyse der Auswirkungen von Medikamenten auf die Gedächtnisfunktion in Alterspatienten
Skyler Singh,Wirtschaftswissenschaftliche Fakultät,Effekte von digitalen Transformationen auf die globale Beschäftigungspolitik
Reese Davis,Juristenfakultät,"Die Bedeutung von rechtlichen Standards in zeitgenössischer Kunst: Eine Analyse der Auswirkungen auf Kunstschaffende, Kunstbewerter und die Gesellschaft als Ganzes"
Casey Lee,Fakultät für Lebenswissenschaften,"Die genetischen Mechanismen des Lernens in verschiedenen Organismen: Eine Untersuchung von Wirbeltieren, Drosophilen und Pilzen"
Riley Singh,Medizinische Fakultät,Neue Behandlungsmöglichkeiten zur Vorbeugung und Behandlung von akuten Infektionen im Gesundheitswesen: Eine Kombination aus Nanotech-Geldmithtechnologie und Immuntherapie.
Riley Garcia,Fakultät für Mathematik und Informatik,Verbesserung von Algorithmen zur Lösung komplexer Optimierungsaufgaben in der Mathematik und Informatik
Jamie Brooks,Philologische Fakultät,Eine linguistische Untersuchung zur Entwicklung von Sprachvariationen im digitalen Zeitalter: Der Fall des Deutsch-Englischen Sprachkontaktes.
Cameron Chen,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",Die Rolle des Kunsthandwerks in der Entwicklung des Feudalsystems im Mittelalter: Eine interdisziplinäre Analyse der visuellen Kommunikation und Rezeption
Cameron O'Hara,Philologische Fakultät,Wortschatzanalyse von antiken griechischen Texten: Eine Spurensuche nach der Entwicklung der Sprache in der klassischen Zeit
Jamie Lee,Juristenfakultät,Die Rechtsfragen im Zusammenhang mit dem Einsatz von Künstlicher Intelligenz in Rechtsprechung und Gerichtsverfahren: Ein Vergleich der Situation in den USA und Deutschland
Sam Adams,Sportwissenschaftliche Fakultät,Die Auswirkungen von regelmäßiger körperlicher Aktivität auf die kognitive Leistungsfähigkeit bei Studierenden
Riley Chen,Fakultät für Physik und Erdsystemwissenschaften,Der Einfluss von Elektromagnetischen Feldern auf die Schmelzrate von Polargeiern am Beispiel der Arktis.
Sydney Kumar,Philologische Fakultät,Der Einfluss der digitalen Technologie auf die Erforschung antiker Texte: eine Untersuchung von digitalen Werkzeugen zur linguistischen Analyse
Skyler Jain,Philologische Fakultät,Die sprachliche Vielfalt in antiken griechischen Tragödien: Eine linguistisch-philologische Untersuchung der Vokabulare und Spracherweiterungen im Chor und unter den Charakteren.
Bailey Smith,Erziehungswissenschaftliche Fakultät,"Einvernehmliche Verständigung und Konfliktlösung im Unterricht - Eine Analyse der Auswirkungen auf Schülerleistung, soziale Interaktion und Unterrichtserfolg"
Jordan Liu,Fakultät für Mathematik und Informatik,Optimierung von künstlichen neuronalen Netzwerken in maschinellem Lernen
Jamie Lee,Erziehungswissenschaftliche Fakultät,Vergleich der Auswirkungen traditioneller und neuer Methoden in der Schulung von Lehrerinnen und Lehrern an der Erziehungswissenschaftlichen Fakultät
Devon Liu,Erziehungswissenschaftliche Fakultät,Die Auswirkungen digitaler Technologien auf das Lernen und die persönliche Entwicklung von Kindern in Zeiten der COVID-19-Pandemie
Dana Clark,Philologische Fakultät,Linguistische Analyse von Schiller-Texten in veränderten Spracheinstellungen: Eine interdisziplinäre Untersuchung zum Verständnis der Sprachänderungen im Spätwerk des Dichters
Charlie Patel,Fakultät für Chemie,Verbesserung der Effizienz hochdreher Katalysatoren durch die Integration von Nanostrukturen
Avery Jain,Sportwissenschaftliche Fakultät,Die Auswirkungen von Hormon-Modulierungen auf Athletenleistung und Gesundheit: Ein Vergleich zwischen natürlichem und künstlichem Hormoneinsatz in der Leistungssteigerung
Skyler Adams,Fakultät für Chemie,Entwicklung neuer Katalysatoren zur Förderung nachhaltiger chemischer Prozesse
Devon Thomas,Juristenfakultät,Die Entwicklung des Rechts auf das digitale Erbe in der Ära der Metadaten: eine interdisziplinäre Betrachtung von Eigentums- und Datenschutzaspekten.
Sydney Davis,Erziehungswissenschaftliche Fakultät,Achtsamkeit bei Schulkindern: Auswirkungen auf emotionale Intelligenz und soziales Wohlbefinden
Avery Rivera,Fakultät für Physik und Erdsystemwissenschaften,Einflüsterungen des Kosmos: Verbindung von Quantenphysik und Geophysik in der Forschung zu geomagnetischen Störungen
Morgan Smith,Wirtschaftswissenschaftliche Fakultät,Innovative Geschäftsmodelle für digitale Unternehmen: Ein Vergleich von strategischen Ansätzen in der digitalen Wirtschaft
Taylor Patel,Philologische Fakultät,Eine Analyse von Metaphern im mittelalterlichen französischen Lyrik: Ein Vergleich von Dante Alighieris La Vita Nuova Und Guillaumes de Machauts Dit du Vergier.
Sam Thomas,Juristenfakultät,Die rechtliche Ausgestaltung von Online-Konsumentenrechten in der Digitalen Wirtschaft
Morgan Clark,Fakultät für Mathematik und Informatik,Machine Learning-basiertes Analysemodell zur Identifizierung von Softwarefehlern in komplexen Softwarekomponenten
Reese Brooks,Fakultät für Sozialwissenschaften und Philosophie,Der Einfluss von digitalen Technologien auf die Gemeinschaftsbildung bei Studierenden: Eine soziologische Analyse
Jamie Adams,Wirtschaftswissenschaftliche Fakultät,Die Auswirkungen von Kryptowährungen auf die globale Finanzsysteme
Alex Garcia,Philologische Fakultät,Einfluss historischer Texte auf die Entwicklung der philippinischen Sprache
Skyler Kumar,Theologische Fakultät,Die Entwicklung von Spiritualität in der modernen Gesellschaft: Ein vergleichender Analyse einer Reihe von spirituellen Bewegungen
Bailey Garcia,Fakultät für Chemie,Entwicklung neuer synthetischer Methoden zur Produktion von effizienten Katalysatoren in der organischen Synthese.
Robin Chen,Fakultät für Physik und Erdsystemwissenschaften,Die Auswirkungen von Methanhydraten auf das Klima und ihre potenziellen Anwendungen in der Energieerzeugung
Alex Kumar,Fakultät für Sozialwissenschaften und Philosophie,Die Konsequenzen postkolonialer Identitätsbildung auf die psychische Gesundheit junger Erwachsener in multikulturell geprägten Ländern.
Sam Rivera,Medizinische Fakultät,Die Auswirkungen von Virtual Reality auf die Rehabilitation nach Schlaganfall in Kombination mit Neuromodulationstechnologien: Ein Pilotstudie
Dakota Rivera,Juristenfakultät,Die Rechtsfragen im Zusammenhang mit künstlicher Intelligenz und automatisierten Entscheidungen in rechtlichen Anwendungsbereichen
Casey Patel,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",Analytische Studie zur Repräsentation von Frauen in mittelalterlichen Miniaturmalereien
Sam Adams,Theologische Fakultät,Die Entwicklung von Feministischer Theologie im Christentum: Eine historische Analyse.
Kris Reed,Juristenfakultät,Das Recht auf Geheimhaltung in der digitalen Ära: Rechts-und Ethikfragen beim Umgang mit Personendaten im Einklang mit ethischen Grundsätzen
Bailey Flores,Fakultät für Lebenswissenschaften,Entwicklung von Nanopartikeln zur Verbesserung der Zellkultur
Taylor Davis,Wirtschaftswissenschaftliche Fakultät,Analyse von Konjunkturzyklen in verschiedenen regionalen Märkten im globalen Handelsumfeld
Dakota Jain,Fakultät für Lebenswissenschaften,Die Auswirkungen von Hormonen auf die Gehirnentwicklung in Jungtieren
Riley Gonzalez,Medizinische Fakultät,Entwicklung neuer therapeutischer Ansätze zur Behandlung von Herzkrankheiten durch die Integration von bioaktiven Peptiden
Morgan Flores,Wirtschaftswissenschaftliche Fakultät,Der Einfluss von Zugänglichkeit digitaler Ressourcen auf die Produktivität mittelständischer Unternehmen: Eine Analyse der Nutzung und Auswirkungen
Morgan Adams,Theologische Fakultät,Der katholische Glaube und seine Auswirkungen auf die Moralentscheidungslehre in der modernen Gesellschaft
Avery Patel,Philologische Fakultät,Das Potenzial von künstlicher Intelligenz zur Verbesserung des Lernens im Feldbereich der deutschen Philologie
Dana Adams,Veterinärmedizinische Fakultät,Entwicklung von neuartigen immunmodulatorischen Therapiestrategien zur Behandlung von autoimmunen Erkrankungen bei Kleintieren
Jamie Rivera,Wirtschaftswissenschaftliche Fakultät,Der Einfluss von digitaler Transformation auf Unternehmensstrukturen: Eine Untersuchung unternehmenstechnischer Anpassungen im Wandel der digitalen Wirtschaft
Reese Thomas,Erziehungswissenschaftliche Fakultät,Einführung von Digitalisierungstechnologien in den Unterricht: Auswirkungen auf das Lernen und die Pädagogik
Skyler O'Hara,Sportwissenschaftliche Fakultät,Die Auswirkungen von mentaler Vorbereitung auf die Leistung von Langstreckenathleten
Dakota Clark,Philologische Fakultät,Die Entwicklung der philologischen Methode bei den griechischen Schriftstellern der Alexandrinerzeit
Cameron Brooks,Fakultät für Sozialwissenschaften und Philosophie,Die Auswirkungen moderner Technologie auf die menschliche Gemeinschaft in gesellschaftlichen Medien
Charlie Garcia,Erziehungswissenschaftliche Fakultät,Die Anwendung von virtuellen Realitäten in Bildung: Eine Untersuchung zur Verbesserung der Engagement und Leistungen von Schülern
Riley Lee,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",Die kunsthistorischen Auswirkungen des Aufkommens der industriellen Revolution auf ländliche Gemeinschaften in Europa: Eine Analyse von Kunstwerken und Kulturausängen aus dieser Periode
Alex Gonzalez,Fakultät für Sozialwissenschaften und Philosophie,Soziale Gerechtigkeit in online-Sozialen Netzwerken: Eine kritische Analyse der Folgen globaler Kommunikationstechnologien auf soziale Ungleichheiten
Riley Gonzalez,Erziehungswissenschaftliche Fakultät,Die Auswirkungen moderner Technologie auf die Lernentwicklung von Schülern in Grundschulen
Alex Lee,Sportwissenschaftliche Fakultät,Motorisches Lernen und motorische Leistungsfähigkeit: Untersuchungen zur Effektivität von verschiedenen trainingsbasierten Lernmethoden.
Jordan Jain,Medizinische Fakultät,Therapeutische Wirkung von Aloe vera auf die Schmerzen und Entzündungen bei Hauterkrankungen: Eine klinische Studie zur Beurteilung der Wirksamkeit einer Aloe-vera-basierten Salbe
Jordan Liu,Medizinische Fakultät,Die Wirkungen von genetischer Manipulation bei Stammzellen auf den Heilungsprozess nach Gehirnverletzungen
Kris Jain,Fakultät für Chemie,Entwicklung neuer Katalysatoren zur Beschleunigung von kohlenstofffixierenden Prozessen mit Schwerpunkt auf der Umwandlung von CO2 in Wertsubstanzen.
Dana O'Hara,Fakultät für Sozialwissenschaften und Philosophie,Einfluss der digitalen Transformation auf das politische Denken: Eine Analyse von sozialen Medien und ihrer Auswirkungen auf dem politischen Geschehen
Avery Gonzalez,Juristenfakultät,Die Rechtsverordnung als Grundlage für die Entwicklung eines digitalen Gerichtssystems
Dana Jain,Theologische Fakultät,Das Konzept der Gnade in christlichen und islamischen Traditionen
Dana Thomas,Erziehungswissenschaftliche Fakultät,Die Wirkungen von Digitalisierung auf die Lehr-Lern-Kommunikation in Schulen
Taylor Garcia,Philologische Fakultät,Die Entwicklung von Kodierungen zur Transkription und Repräsentation unerforschter Sprachen: Eine in-depth Analyse und Entwicklung weiterer Codierungsschemata basierend auf der Philologischen Fakultät
Robin Davis,Fakultät für Mathematik und Informatik,Effiziente Verarbeitung von großen Datenvolumen in der Informatik durch forderspezifische Programmierwerkzeuge
Robin Brooks,Wirtschaftswissenschaftliche Fakultät,Beeinflusse die Auswirkungen von Klimawandel auf mittelständische Unternehmen in der Europäischen Union
Jordan Garcia,Fakultät für Lebenswissenschaften,Die Wirkungen von Cognitive Behavioral Therapy auf Körperlichkeit und Stress bei Menschen mit bestimmten chronischen Krankheiten.
Sydney Liu,Theologische Fakultät,Das Konzept von Heil: Eine vergleichende Untersuchung zwischen christlich-abrahamitischen Traditionen.
Taylor Jain,Erziehungswissenschaftliche Fakultät,Die Auswirkungen moderner Technologie auf das Lernen von Schülern: Eine Untersuchung zur Rolle digitaler Medien im Unterricht
Casey Adams,Fakultät für Physik und Erdsystemwissenschaften,"Entwicklung eines Modells zur Vorhersage von Klimaveränderungen unter Berücksichtigung der interaktion der Geosphäre, Atmosphäre und Ozeane"
Avery Thomas,Veterinärmedizinische Fakultät,Analyse von Tierfutterbezügen im Vergleich zu anderen Nahrungsmitteln und ihrem Einfluss auf die Häufigkeit und Schwere von Krankheiten bei Veterinärpatienten
Jamie Brooks,Erziehungswissenschaftliche Fakultät,Die Auswirkungen des Digitalisierungsprozesses auf die pädagogische Praxis: Eine empirische Untersuchung in der Secondary Education.
Morgan Brooks,Theologische Fakultät,Der Einfluss der buddhistischen Meditationspraktiken auf die Entwicklung spiritueller Sichtweisen und moralischer Werte.
Skyler Garcia,Fakultät für Lebenswissenschaften,Eine Erforschung des Einflusses von Umweltfaktoren auf die Expression von bestimmten Gene in landwirtschaftlichen Pflanzen
Skyler Reed,Medizinische Fakultät,Einfluss von individuellen genetischen Faktoren auf die Wirksamkeit von Immuntherapie bei Krebspatienten: Eine erfassende Literaturübersicht
Riley Chen,Fakultät für Mathematik und Informatik,Implementierung von maschinellem Lernen in komplexen Programmiersprachen zur Optimierung von Softwareentwicklungsprozessen
Dana Flores,Erziehungswissenschaftliche Fakultät,Einfluss von digitalen Technologien auf die Schülerinnenzentrierte Bildung: Analyse der Effektivität und Effizienz von Hybridunterricht
Sydney Smith,Veterinärmedizinische Fakultät,Die Auswirkungen von diätischen Interventionen auf die Harnleithäufigkeit bei Haustieren
Sydney Reed,Fakultät für Mathematik und Informatik,Innovative Algorithmen für maschinelles Lernen: Anwendungen in der komplexen dynamischen Systemeanalyse
Jamie Brooks,Fakultät für Chemie,"Investigations of Novel Heterocyclic Catalysts for Selective Oxidation Reactions: A Comprehensive Study on their Structural Features, Stability and Catalytic Activity"
Robin Adams,Philologische Fakultät,Die Verschmelzung von Digitale Philologie und Künstlicher Intelligenz: Potenziale und Herausforderungen
Dana Patel,Erziehungswissenschaftliche Fakultät,The impact of educational technology on student engagement and academic achievement in primary schools
Dakota O'Hara,Fakultät für Lebenswissenschaften,Der Einfluss von Umweltfaktoren auf das Wachstum von Bio- und Agrarestoffpflanzen
Devon Adams,Fakultät für Lebenswissenschaften,Die Entwicklung nachhaltiger Bioprozesse zur Effizienzsteigerung bei Proteinkonsumtion mit Hilfe von Insektenprotein
Bailey Smith,Fakultät für Lebenswissenschaften,Entwicklung neuer methodischer Ansätze zur Untersuchung von Genexpression und ihre Auswirkungen auf die Verdauung in tierischen Modellen
Devon Flores,Fakultät für Sozialwissenschaften und Philosophie,Die Transformation der politischen Beteiligung durch digitale Medien.
Kris Chen,Fakultät für Lebenswissenschaften,Anzapfung von Proteinen als Schlüssel zur Gewahrleistung einer gesunden Ernährung
Kris Lee,Wirtschaftswissenschaftliche Fakultät,Untersuchung des Einflusses von digitalen Technologien auf Marktzugänge in Industriellen Märkten
Sam Lee,Juristenfakultät,"Das Potenzial von Künstlicher Intelligenz bei Beweisaufnahmen im Strafverfahren: Rechtliche, ethische und technische Herausforderungen"
Morgan Jain,Fakultät für Mathematik und Informatik,Optimierung von Genetischem Programmieren in maschinellem Lernen: Eine Untersuchung zur Verbesserung der Leistungsvermögens des Gens
Taylor Gonzalez,Erziehungswissenschaftliche Fakultät,Die Auswirkungen verbaler Kommunikation auf mentale Gesundheitssignale während des Erwerbs von Selbstregulation bei Kindern
Devon Campbell,Fakultät für Lebenswissenschaften,Molekulare Mechanismen der Kohlensäurefixierung in C4-Pflanzen
Reese Lee,Fakultät für Mathematik und Informatik,Anwendung von topologischen Methoden in der Optimierung von Algorithmen zur Lösung komplexer mathematischer Probleme.
Devon Gonzalez,Fakultät für Sozialwissenschaften und Philosophie,Das Verständnis von moralischen Urteilen im Kontext der digitalen Datenflut
Bailey Kumar,Erziehungswissenschaftliche Fakultät,Anpassungsfähigkeit von Schülern in multikulturellen Umgebungen: Ein Vergleich verschiedener Unterrichtsmethoden
Bailey Jain,Fakultät für Chemie,Entwicklung hochselektiver organischer Katalysatoren für nachhaltige Weichenreaktionen in Wasserstoff-Oxidationsreaktionen
Sydney Patel,Philologische Fakultät,Der Schicksalsweg der Sprachphilosophie: Eine analysierende Studie über die Bedeutung der linguistischen Konzepte in mittelalterlichen literarischen Texten
Dakota Brooks,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",Eine interaktive Analyse der Wandgemälde in den prähistorischen Höhlen von Lascaux.
Morgan Reed,Fakultät für Physik und Erdsystemwissenschaften,High-resolution Geophysical Imaging Techniques for Seismic Hazard Assessment in Vulnerable Regions: A Comprehensive Study
Reese Gonzalez,Medizinische Fakultät,Verhinderung von Herzkreislauf-Erkrankungen durch Fortschritte in der Prävention: Eine Analyse der Effektivität verschiedener Maßnahmen bei patientspezifischen Risikofaktoren
Morgan Adams,Erziehungswissenschaftliche Fakultät,Der Einfluss digitaler Medien auf die Entwicklung sozialer Kompetenz bei Schülern in der Grundschule
Kris Kumar,Veterinärmedizinische Fakultät,"Eine umfassende Untersuchung von alternativem Ernährungsfächer für Haustiere: Auswirkungen auf Gesundheit, Wohlbefinden und ökologische Nachhaltigkeit."
Cameron Lee,Erziehungswissenschaftliche Fakultät,Der Einfluss von Bildungspolitikmaßnahmen auf die Entwicklung lebenslangen Lernens in der Erziehungswissenschaft
Cameron Singh,Veterinärmedizinische Fakultät,Ergebnisse einer Studie zur Prävalenz von Maul-Hundkrankheit (Canine Brucellosis) bei Haushunden in ländlichen Gebieten
Charlie Adams,Sportwissenschaftliche Fakultät,Einfluß von körperlicher Aktivität auf die kognitive Leistungsfähigkeit bei Studenten der Sportwissenschaftlichen Fakultät
Dakota Campbell,Theologische Fakultät,Die Bedeutung der Eschatologie im christlichen Glaubenssystem: Eine Untersuchung der eschatologischen Lehren von Augustinus von Hippo und Martin Luther
Kris Reed,Philologische Fakultät,Die Entwicklung von Sprachwerkzeugen in der digitalen Ära: Ein Beitrag zur Linguistik und Informatik
Skyler Singh,Philologische Fakultät,Der Einfluss von Dialektgeographischen Variationen auf die Entwicklung der mittelalterlichen Prosaliteratur in England.
Taylor Patel,Fakultät für Chemie,Synthese und Eigenschaften neuer metalorganischer Verbindungen mit Anwendung in Katalyse
Taylor Garcia,Sportwissenschaftliche Fakultät,Einfluß von Wettkampftraining auf Muskelwachstum bei Athleten unter Berücksichtigung von Genexpression und Hormonspiegeln
Skyler Patel,Fakultät für Chemie,Synthese und Charakterisierung von novelen nanoscaled metallorganischen Verbindungen für Anwendungen in der Lithiumionen Akku-Technologie.
Dakota Campbell,Erziehungswissenschaftliche Fakultät,Die Auswirkungen von digitalen Technologien auf das Lernen: Eine kritische Analyse aus der Perspektive der bildungswissenschaftlichen Fakultät. 
Bailey O'Hara,Philologische Fakultät,Die Entwicklung von Computermodellen zur Analyse des Stilwechsels zwischen Texten von Dostojewski und Tolstoi.
Jamie Rivera,Fakultät für Physik und Erdsystemwissenschaften,Quantitative Untersuchung geomagnetischer Störungen in der Arktis als Auswirkung ausgewählter Klimawandelscenarien bis zum Jahr 2050
Jamie Smith,Medizinische Fakultät,Die Auswirkungen von fortlaufender Bewegung auf die Gehirnentzündung bei patients mit Parkinson-Krankheit: Eine vergleichende Studie
Robin Kumar,Fakultät für Lebenswissenschaften,Die Auswirkungen von Umweltfaktoren auf die Genexpression eines Schlankheitsgenoms in menschlichen Adipozitätszellen
Alex Liu,Theologische Fakultät,Die Beziehung zwischen Gnosis und Rites in frühen christlichen Gemeinschaften
Avery Kumar,Veterinärmedizinische Fakultät,Der Einfluss von verschiedenen Ernährungssäten auf die Immunfunktion von Haustieren
Charlie Adams,Sportwissenschaftliche Fakultät,Einfluss von körperlicher Bewegung auf das Gehirn: eine Untersuchung zur Veränderung der kognitiven Funktionen unter intensiver körperlicher Aktivität
Robin Adams,Fakultät für Lebenswissenschaften,Gentlige Verfahren zur Inaktivierung von parasitären Nematoden in der Landwirtschaft: Ein Wege zur kontrollierten Ernteerntung.
Taylor Lee,Sportwissenschaftliche Fakultät,Einfluß von Trainingsmethoden auf Athletikleistung bei langstreckigen Laufsportlern
Avery Adams,Fakultät für Lebenswissenschaften,Molekulare Mechanismen von Interaktionen zwischen Pflanzenhormonen und Signaltransduktionsproteinen in C3-Gehemzellen
Cameron Gonzalez,Fakultät für Sozialwissenschaften und Philosophie,Der Einfluss von Technologie auf die Entwicklung der sozialen Identität: Eine interdisziplinäre Analyse in der sozialen Gerechtigkeit
Avery Thomas,Veterinärmedizinische Fakultät,Eine Analyse von Ernährungsverhaltensmustern hinter dem Verhalten von Haustieren bei unterschiedlichen Umgebungen
Jordan Singh,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",Die archäologischen Funde entlang des antiken Handelsweges: Eine Untersuchung der Ausgewanderten von der Stadt XY zu ihrer kulturellen Identität und ihren Einflüssen von Zielort XY
Jordan Davis,Erziehungswissenschaftliche Fakultät,Die Auswirkungen von Inklusion in der Schülersozialisation innerhalb von heterogenen Klassenzimmern auf das akademische Leistungswachstum.
Riley Garcia,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",Das Unterscheidungsfähigkeit von mittelalterlichen Glasurfarben in Keramikwerkstätten zur Bestimmung ihres Herkunftsorts
Skyler Thomas,Juristenfakultät,Der Einsatz von künstlicher Intelligenz in rechtlichem Analysen - Chancen und Herausforderungen.
Avery Jain,Wirtschaftswissenschaftliche Fakultät,Evaluation der Effekte von Blockchain-Technologie auf die Verschlüsselung und Sicherheit in der Finanzbranche
Sam Chen,Fakultät für Mathematik und Informatik,Analysis und Entwicklung von Algorithmen zur Behandlung von Komplexität in Parallelrechnern
Alex Chen,Sportwissenschaftliche Fakultät,Die Auswirkungen verschiedener Konditionsübungen auf die Performanz von professionellen Fußballspielern.
Bailey Thomas,Theologische Fakultät,Eine Analyse der religiösen Rituale in altägyptischer Kultur: Tradition und Innovation im Alten Ägypten.
Riley Kumar,Veterinärmedizinische Fakultät,Die Auswirkungen von diätetischen Interventionen auf Zahngesundheit bei Haustieren: Eine klinisch-pathologische Studie
Taylor Clark,Wirtschaftswissenschaftliche Fakultät,Anwendung von Ganzzahlentheorie in Risikomanagementstrategien für Finanzinstitute
Jordan Flores,Erziehungswissenschaftliche Fakultät,Der Einfluss von digitale Medien auf Lernmuster und -fortschritt in pädagogischen Umgebungen.
Casey Brooks,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",Das Veränderungskunstwerk: Die Evolution der regionalen Kulturlandschaften in Europa vor dem Hintergrund von Klimawandel und Migration.
Dakota Jain,Erziehungswissenschaftliche Fakultät,Die Auswirkungen von Schülerentwicklungsprogrammen auf das akademische Engagement im Laufe des Bildungsweges.
Alex O'Hara,Fakultät für Mathematik und Informatik,Anwendung von konstanten Fähnchen in der numerischen Analysis
Bailey Kumar,Wirtschaftswissenschaftliche Fakultät,Einfluss sozialer Medien auf ökonomische Entscheidungen von Unternehmen
Morgan Kumar,"Fakultät für Geschichte, Kunst- und Regionalwissenschaften",Die Einwirkung des modernen Sozialmedias auf populäre Kultur und ihre Auswirkungen auf die Region der Karibik
Kris Clark,Philologische Fakultät,Die Entwicklung der deutschen Sprache im Rahmen der digitalen Kommunikation: Eine diachronische Analyse von Texten aus sozialen Medien
Skyler Liu,Fakultät für Lebenswissenschaften,Einführung der Verwendung von Synthetischem Fleisch in menschlicher Ernährung: Herausforderungen und Möglichkeiten
Taylor Kumar,Veterinärmedizinische Fakultät,Erkundungen in die Möglichkeiten von Regenerativem Medizin bei Haustieren: Potenziale und Herausforderungen
Devon Kumar,Fakultät für Lebenswissenschaften,Die Auswirkungen von Umweltfaktoren auf die Entwicklung von Pflanzen: Eine Studie zur genetischen Variabilität von Weizen.
Taylor Campbell,Fakultät für Mathematik und Informatik,Mathematische Modellierung von Algorithmen zur Lagerverwaltung
Cameron Liu,Fakultät für Mathematik und Informatik,"Entwicklung eines neuartigen Algorithmus zur Optimierung von Algorithmen, speziell in Bezug auf maschinelle Lernalgorithmen"
